question stem,option A,option B,option C,option D,option A feedback,option B feedback,option C feedback,option D feedback,correct answer,data content ID,question nickname
Veronica works two part time jobs in order to earn enough money to meet her obligations of at least $280 a week. Her job at the day spa pays $10 an hour and her administrative assistant job on campus pays $17.50 an hour.Which of the following is a solution that allows Veronica to earn enough money?,5 hours at the day spa and 10 hours as an administrative assistant,10 hours at the day spa and 10 hours as an administrative assistant,15 hours at the day spa and 5 hours as an administrative assistant,5 hours at the day spa and 15 hours as an administrative assistant,"Incorrect. Let's try again a different way: In this combination, Veronica earns $50 at the spa and $175 on campus, which is only $225 in total.. The answer is 5 hours at the day spa and 15 hours as an administrative assistant","Incorrect. Let's try again a different way: In this combination, Veronica earns $100 at the spa and $175 on campus, which is only $275 in total. The answer is 5 hours at the day spa and 15 hours as an administrative assistant",Incorrect. Let's try again a different way: You may have mixed up the pay rates. Veronica earns $10 at the spa and $17.50 as an administrative assistant. She would not earn more than $280 with this choice. The answer is 5 hours at the day spa and 15 hours as an administrative assistant,"That's correct! Check yourself: 5(10) + 15(17.50) = 312.50, which is greater than 280.",D,163b1569-894e-48fb-b450-4f85c6a0b750,Alg1_2_13_3_SC
"A singer sold two types of tickets to a performance, seated tickets and standing-room tickets.Seated tickets cost $25.Standing-room tickets cost $15.More than 60 tickets were sold.More than $1,200 was made from selling tickets.Which of the following ticket combinations is possible given the situation described here?",14 seated tickets and 55 standing-room tickets,40 seated tickets and 19 standing-room tickets,10 seated tickets and 60 standing-room tickets,20 seated tickets and 50 standing-room tickets,"Incorrect. Let's try again a different way: This ticket combination makes $350 for seats and $825 for the standing room, totaling only $1,175, which is less than $1,200. The answer is 20 seated tickets and 50 standing-room tickets.",Incorrect. Let's try again a different way: This ticket combination is less than 60 tickets. The answer is 20 seated tickets and 50 standing-room tickets.,"Incorrect. Let's try again a different way: This ticket combination makes $250 for seats and $900 for the standing room, totaling only $1,150, which is less than $1,200. The answer is 20 seated tickets and 50 standing-room tickets.","That's correct! Check yourself: This combination represents 70 tickets sold and makes $500 for seats and $750 for the standing room, totaling $1,250. This is the correct answer.",D,e4343427-62ee-4b97-ac3f-1362aa84ef49,Alg1_2_14_2_SC
A music store is shipping guitars and snare drums.Each guitar weighs 6 pounds.Each snare drum weighs 14 pounds.The maximum weight of guitars and snare drums cannot be more than 120 pounds.The store needs to ship more than 10 total instruments.Which of the following systems of inequalities describes the situation if \(x\) is the number of guitars and \(y\) is the number of snare drums?,\(6x+14y\geq120\)\(x+y>10\),\(14x+6y\leq120\)\(x+y>10\),\(14x+6y\geq120\)\(x+y<10\),\(6x+14y\leq120\)\(x+y>10\),Incorrect. Let's try again a different way: The weight of the instruments must be less than 120. The answer is\(6x+14y\leq120\)\(x+y>10\),"Incorrect. Let's try again a different way: The number of guitars is represented by \(x\), and the number of snare drums is represented by \(y\). The answer is\(6x+14y\leq120\)\(x+y>10\)",Incorrect. Let's try again a different way: The weight of the instruments must be less than 120. The number of instruments shipped must be more than 10. The answer is\(6x+14y\leq120\)\(x+y>10\),That's correct! Check yourself: The weight of the guitars at 6 pounds each and the weight of snare drums at 14 pounds each must be less than or equal to 120 pounds. The number of instruments shipped must be more than 10. This is the correct system of inequalities.,D,604f85d7-ec5c-43b7-ac4d-2fb3ac5671b7,Alg1_2_14_3_SC
Which two inequalities are graphed in the system of inequalities below?,\(x\leq2\\y>3x-1\\\),\(x\geq2\\y>3x-1\\\),\(x\geq2\\y<3x-1\\\),\(x>2\\y\geq3x-1\\\),"Incorrect. Let's try again a different way: Notice that the graph is shaded to the right of \(x=2\). The answer is \(x\geq2,\;y>3x-1.\)",That's correct! Check yourself: The graph is shaded to the right of \(x=2\) with a solid line border and the graph is shaded above the line \(y=3x-1\) with a dashed line border.,"Incorrect. Let's try again a different way: Notice that the graph is shaded above the line \(y=3x-1\). The answer is \(x\geq2,\;y>3x-1.\)","Incorrect. Let's try again a different way: A line is solid when the inequality has ""equal to"" included and dashed when it does not have an equal sign with it. The answer is \(x\geq2,\;y>3x-1.\)",B,0c59f340-d0bd-446b-a778-d95223eccb5a,Alg1_2_14_4_SC
Which of the following ordered pairs falls within the solution set to the system of inequalities?\(–5x\;+\;2y\;>\;–5\)\(4x\;+\;3y\;<\;27\),"\((3, 5)\)","\((0, 9)\)","\((2, 5)\)","\((1, 0)\)","Incorrect. Let's try again a different way: This ordered pair falls on both boundary lines and does not satisfy either inequality. The answer is \((2, 5)\).","Incorrect. Let's try again a different way: This ordered pair does not satisfy both inequalities. The answer is \((2, 5)\).",That's correct! Check yourself: This ordered pair falls within the region representing the solution set.,"Incorrect. Let's try again a different way: This ordered pair does not satisfy both inequalities. The answer is \((2, 5)\).",C,9a7fbe77-1d25-4ed0-b5d2-b65eeb52a35d,Alg1_2_15_3_SC
The plot below is a scatter plot of mean temperature in July and mean inches of rain per year for a sample of midwestern cities. A line is drawn to fit the data.Use the line provided to predict the mean number of inches of rain per year for a city that has a mean temperature of 70°F in July.,32.5 inches per year,33.5 inches per year,34.5 inches per year,31.5 inches per year,Incorrect. Let's try again a different way: Go to 70 on the \(x\)-axis and see where the value meets the line. The answer is 33.5 inches per year.,"That's correct! Check yourself: At 70 degrees on the \(x\)-axis, the value the line crosses is approximately 33.5 inches per year.",Incorrect. Let's try again a different way: Go to 70 on the \(x\)-axis and see where the value meets the line. The answer is 33.5 inches per year.,Incorrect. Let's try again a different way: Go to 70 on the \(x\)-axis and see where the value meets the line. The answer is 33.5 inches per year.,B,40880edc-93b5-425a-b229-48418a8a6989,Alg1_3_1_2_SC
"The scatter plot below shows the age (in years) and the price (in dollars) of used compact cars advertised in the local newspaper.Nora drew a line to fit the data. What is the slope of her line, and what does it mean in the problem?","\(-1000\), for every year older the car is, its price decreases 1000 dollars.","\(1000\), for every year older the car is, its price decreases 1000 dollars.","\(1000\), for every year older the car is, its price increases 1000 dollars.","\(-\frac1{1000}\), for every year older the car is, it decreases \(\frac1{1000}\) of its value the year before.","That's correct! Check yourself: The slope is negative, and if the points \((13,6000)\) and \((7, 12000)\) are used, the slope is \(\frac{12000-6000}{7-13}\;=\;-\;\frac{6,000}6\;=\;-1000\)","Incorrect. Let's try again a different way: The slope of the line is negative, and the price decreases as the cars get older. The answer is the slope is \(-1000\). For every year older the car is, its price decreases 1000 dollars.","Incorrect. Let's try again a different way: The slope of the line is negative, and the price decreases as the cars get older. The answer is the slope is \(-1000\). For every year older the car is, its price decreases 1000 dollars.","Incorrect. Let's try again a different way: To find slope, use the change of the \(y\)-values over the change of the \(x\)-values, or rise over run. For every year older the car is, its price decreases 1000 dollars.",A,fdf3f6b4-d97c-4f23-9eee-e29657f83e81,Alg1_3_1_3_SC
The scatter plot below shows the results of a survey of eighth-grade students who were asked to report the number of hours per week they spend playing video games and the typical number of hours they sleep each night.Which of the following conclusions can you make looking at the data?,"As video game time increases, sleep time increases.","As video game time decreases, sleep time decreases.","As video game time increases, sleep time decreases.",There is not a trend between time spent on video games and sleep time.,"Incorrect. Let's try again a different way: Notice the slope of the line is negative. As the line goes farther right, the line goes down. The answer is as video game time increases, sleep time decreases.","Incorrect. Let's try again a different way: As the line goes farther right, the line goes down. The answer is as video game time increases, sleep time decreases.","That's correct! Check yourself: As the number of hours spent on video games increases, the line goes down, so the amount of sleep time decreases.","Incorrect. Let's try again a different way: There is a linear model to the data points. The answer is as video game time increases, sleep time decreases.",C,7eef65c3-eca7-4a6b-b9fe-3b8c1b464f0e,Alg1_3_1_4_SC
Tell which line is the best fit for the data and give an explanation why it is the best fit.,Line 1 is the best fit because it touches the first point on the left of the scatter plot.,Line 2 is the best fit because it touches the last point on the right of the scatter plot.,Line 2 is the best fit because it goes through the middle of the data with about the same number of data points above and below the line.,Line 1 is the best fit because it has a steeper slope.,Incorrect. Let's try again a different way: Where the line starts does not determine the line of best fit. The answer is line 2 is the best fit because it goes through the middle of the data with about the same number of data points above and below the line.,Incorrect. Let's try again a different way: Where the line ends does not determine its fit. The answer is line 2 is the best fit because it goes through the middle of the data with about the same number of data points above and below the line.,That's correct! Check yourself: Line 2 goes down the middle of the data and has almost the same number of points above and below the line.,Incorrect. Let's try again a different way: The steepness of the slope does not determine the line of best fit. The answer is line 2 is the best fit because it goes through the middle of the data with about the same number of data points above and below the line.,C,6c58253c-875f-4c40-bddb-e2d7c3d1daaa,Alg1_3_2_2_SC
"Old Faithful is a geyser in Yellowstone National Park. The following table offers some rough estimates of the length of an eruption (in minutes) and the amount of water (in gallons) in that eruption.Length (minutes)1.5234.5Amount of Water
                      (gallons)3,7004,1006,4508,400Use technology to find an equation of the line of best fit. Round to the nearest hundredth.",\(y=1151.19x+1640.48\),\(y = 800x +2500\),\(y  = 1640.48x+1151.19\),\(y=-1151.19x+1640.48\),Incorrect. Let's try again a different way: The slope of the line is the coefficient of \(x\). The answer is \(y  = 640.48x+1151.19\).,Incorrect. Let's try again a different way: This was found using the first two points in the table. Use technology to enter the data from the table then find the linear regression line. The answer is \(y  = 1640.48x+1151.19\).,"That's correct! Check yourself: The slope of the line is the coefficient of \(x\). The \(y\)-intercept would be below 3,700 with the linear trend.","Incorrect. Let's try again a different way: The trend is increasing in the table, so the slope should be positive. The answer is \(y=1640.48x+1151.19\).",C,9fe968fb-439a-4c3d-b77f-497862df8da4,Alg1_3_2_4_SC
"The equation for a line of best fit is \(y = 2.2x +3.4\). Find the residual for the point \((3, 9)\).",\(2.4\),\(1\),\(-1\),\(14.2\),Incorrect. Let's try again a different way: Be sure to add the constant when evaluating the line of best fit at \(x = 3\). Then find the actual \(y\)-value - estimated \(y\)-value. The answer is \(-1\).,"Incorrect. Let's try again a different way: To find the residual, subtract the actual value - estimated value. Watch the order of the values and the signs when subtracting. The answer is \(-1\).","That's correct! Check yourself. Substitute \(x =3\) so that \(y=2.2(3)+3.4= 10\). This is the estimated value. The actual value at \(x=3\) is 9, so \(9-10 =-1\).","Incorrect. Let's try again a different way. Substitute 3 in for \(x\), not 9, in the equation. The answer is \(-1\).",C,4311eddc-3221-49e7-8045-f6075c6ecdf7,Alg1_3_3_2_SC
Which residual plot shows the most accurate line of best fit for a scatter plot?,,,,,Incorrect. Let's try again a different way: The residual shows a good line of best fit if the points are scattered above and below the horizontal line of 0 without a pattern or curve. The answer is,Incorrect. Let's try again a different way: The residual shows a good line of best fit if the points are scattered above and below the horizontal line of 0 without a pattern or curve. The answer is,That's correct! Check yourself: The points in the residual are scattered randomly above and below the horizontal line that is 0. There is no curve or pattern.,Incorrect. Let's try again a different way: The residual shows a good line of best fit if the points are scattered above and below the horizontal line of 0 without a pattern or curve. The answer is,C,2815109e-2c5d-4a6e-afb5-10e531d8e30d,Alg1_3_3_3_SC
Which correlation coefficient best matches the scatter plot below?,\(r=0.95\),\(r=-0.89\),\(r=0.26\),\(r=-0.39\),"That's correct! Check yourself: The slope is positive, and there is a strong correlation because the points are close to each other. The correlation coefficient should be close to positive 1.","Incorrect. Let's try again a different way: The slope of the line of best fit would be positive, so the \(r\)-value should be positive. The answer is \(r=0.95\).","Incorrect. Let's try again a different way: This indicates a weak positive correlation. The scatter plot has points that are very close to each other, so the \(r\)-value should be closer to 1. The answer is \(r=0.95\).","Incorrect. Let's try again a different way: This indicates a weak negative correlation. The scatter plot has points that are very close to each other, so the \(r\)-value should be closer to 1. The slope of the line of best fit would be positive, so the \(r\)-value should be positive. The answer is\(r=0.95\).",A,a4eda7d0-bf9c-4332-bd58-691cb7df924f,Alg1_3_4_2_SC
Which correlation coefficient best matches the scatter plot below?,\(r=0.95\),\(r=-0.89\),\(r=0.26\),\(r=-0.39\),"Incorrect. Let's try again a different way: This \(r\)-value shows a strong positive correlation, and the scatter plot pictured is very spread out and has a negative slope. The correlation should be weak and negative. The correct answer is \(r=-0.39\).","Incorrect. Let's try again a different way: This \(r\)-value shows a strong positive correlation, and the scatter plot pictured is very spread out, signifying a weak correlation. The correct answer is \(r=-0.39\).",Incorrect. Let's try again a different way: This \(r\)-value shows a weak correlation but with a positive slope. The correct answer is \(r=-0.39\).,"That's correct! Check yourself: This correlation coefficient shows a weak correlation with a negative slope, which matches the scatter plot shown.",D,bd3652ba-e864-44a5-bec3-fc83dd8cac8f,Alg1_3_4_4_SC
Determine the correlation coefficient of the data in the table below to 3 decimal places  and interpret the value.\(x\)815263156\(y\)23415372103,\(r = -0.987\); there is a weak negative relationship.,\(r=0.987\); there is a weak positive relationship.,\(r=0.987\); there is a strong positive relationship.,"\(r=-0.987\); there is
        a strong negative relationship.","Incorrect. Let's try
again a different way: The slope of the points in the table is positive so the
correlation coefficient should be positive. R-values close to 1 or -1 show
strong relationships. The answer is \(r=0.987\); there is a strong positive relationship.","Incorrect.Let's try
again a different way: R-values close to 1 indicate a strong relationship.  The answer is \(r=0.987\); there is a strong
positive relationship.","That's correct!Check
yourself: Using graphing technology, ensure that you enter the data correctly.
The slope of the points in the table is positive and the points are close to
the line, so the correlation coefficient should be a positive number close to
1.","Incorrect. Let's try
again a different way: The slope of the points in the table is positive so the
correlation coefficient should be positive. The answer is \(r=0.987.\)",C,7e4edc59-47bf-402f-a97c-af4dcffe777b,Alg1_3_5_2_SC
"In the graph below, whichbestdescribes the scatter plot of points?","\( r=0.90 \), positive, weak, correlation","\( r=-0.90 \), strong, negative correlation","\( r=-0.24 \), weak, negative correlation","\(r=0.24\), positive correlation","Incorrect. Let's try again a different way:The slope of the line of best fit would be negative, so correlation should be negative. Also, the correlation coefficient is close to 1, so it is a strong relationship. The answer is \( r=-0.90 \), strong, negative correlation.","That's correct! Check yourself:The slope of the line of best fit would be negative, so the correlation should be negative. Also, since the points are close together, the \( r \) value is close to -1.","Incorrect. Let's try again a different way: Since the points are close together, the r value should be close to -1.The answer is \( r=-0.90 \), strong, negative correlation.","Incorrect. Let's try again a different way: The slope of the line of best fit would be negative, so correlation should be negative. Since the points are close together, the \( r \) value should be close to -1. The answer is\( r=-0.90 \), strong, negative correlation",B,430fd55b-bda7-47e8-82a3-98043a238891,Alg1_3_5_3_SC
"In this scatter plot, which sentence best describes how the two variables are related?","The more hot dogs that are bought, the more sodas that are bought.",Hot dog prices and small soft drink prices are not related.,"At different locations, as hot dog prices increase, small soda prices also increase.","As hot dog prices go up, soft drink prices go down.","Incorrect.
        The scatter plot shows the price of
        hot dogs and sodas and how they are related, not the quantity bought.
        The answer is: At different locations, as hot dog prices increase, small
        soda prices also increase.","Incorrect. The scatter plot shows a relatively
        strong positive relationship. The answer is: At different locations, as
        hot dog prices increase, small soda prices also increase.","That's correct! Check yourself: As a general trend, as the hot dog prices go up, so do the soft drink prices.","Incorrect.
        Let's try again a different way: This describes a negative relationship, but the scatter plot shows a positive relationship. The answer is: At
        different locations, as hot dog prices increase, small soda prices also
        increase.",C,1f29d06d-bff2-4674-86aa-a3ae8de839a7,Alg1_3_6_2_SC
Which of the following is a causal relationship?,The number of kids in a family and the number of pets in a family.,The temperature and number of people buying hot chocolate.,The size of a deck and number of wood boards used.,"The lower the temperature, the more people go ice skating.","Incorrect. Let's try again a different way: The number of kids in a family does 
not cause the number of pets in a family to change.The answer is: The size of a deck and number of wood boards used.","Incorrect. Let's try again a different way:Depending
 on the weather, more people may buy hot chocolate, but it does not mean
 the weather will cause people to buy more hot chocolate. The answer is:
 The size of a deck and number of wood boards used.",That's correct! Check yourself:A larger deck causes more boards to be used.,"Incorrect. Let's try again a different way: When the temperature decreases, it
        does not cause more people to ice skate. Other factors also contribute.
        The answer is: The size of a deck and number of wood boards used.",C,20748345-dc93-40b1-8e48-ee5c886f6923,Alg1_3_6_3_SC
The graph below shows a person’s elevation for a period of 10 minutes. Which statement below is true based on the graph?,The person sped up in the first 3 minutes.,The person slowed down for the second half of the hike.,"During the first 3 minutes, the person was hiking up a hill.",The person never stopped climbing.,"Incorrect. Let's try again a different way: The graph is looking at time and elevation, not speed. The answer is that the person was hiking up a hill for the first 3 minutes.","Incorrect. Let's try again a different way: The graph is looking at time and elevation, not speed. The answer is that the person was hiking up a hill for the first 3 minutes.","That's correct! Check yourself: As time passed during the first 3 minutes, the person's elevation increased.","Incorrect. Let's try again a different way: The elevation stayed the same from 3 to 4 minutes and about 5 to 6 minutes, so that is where they stopped climbing. The answer is that the person was hiking up a hill for the first 3 minutes.",C,6879ead3-84e1-4ecb-93de-244ad4aedb28,Alg1_4_1_2_SC
"Consider the two relations below. Which statement is true about both relations?{\((−3,−6),(−2,−4),(−1,−2),(0,0),(1,2),(2,4),(3,6)\)}{\((8,−4),(4,−2),(2,−1),(0,0),(2,1),(4,2),(8,4)\)}",Both relations are functions.,"Relation a is a function, but relation b is not a function.","Relation b is a function, but relation a is not a function.",Neither relation is a function.,"Incorrect. Let's try again a different way: In relation b, the input, 4, is shared with 2 outputs. The answer is that relation a is a function, but relation b is not.","That's correct! Check yourself: In relation a, every input goes to exactly one output, but in relation b, the input value 4 goes to both -2 and 2.","Incorrect. Let's try again a different way: Relation b is not a function because the input value 4 goes to both 2 and -2. Relation a has every input value going to exactly one output value. The answer is that relation a is a function, but relation b is not.","Incorrect. Let's try again a different way: Relation a is a function since every input value goes to exactly one output value. The answer is that relation a is a function, but relation b is not.",B,0e605d9a-8a29-4829-a545-7358d2b1669e,Alg1_4_1_3_SC
The number of unread emails in Bryan’s account is 100. This number grows by 15 unread emails a day. Which of the following is true about this relationship?,"Time, in days, is a function of the number of emails.",The number of emails is a function of time in days.,There is not a functional relationship between time and the number of emails.,The number of unread emails is a function of the number of new unread emails.,"Incorrect. Let's try again a different way: The input is time, and the output is the number of emails in the account. The answer is that the number of emails is a function of time in days.","That's correct! Check yourself: The input is time, and the output is the number of emails in the account.","Incorrect. Let's try again a different way: There is exactly one output, number of emails, for each input, time in days. The answer is that the number of emails is a function of time in days.","Incorrect. Let's try again a different way: The input is time, and the output is the number of emails in the account. The answer is that the number of emails is a function of time in days.",B,59b1af34-707c-4a30-aba3-f22dbd3a4f2b,Alg1_4_1_4_SC
"Self CheckA function \(f(y) = N\) gives the number of police officers, \(N\), in a town in year \(y\). What does \(f(2005)=300\) represent?","After 2005 years, there were 300 police officers.","At year 300, there were 2005 police officers.","In the year 2005, there were 300 police officers.","In the year 2005, there were 300 more police officers than in 2004.","Incorrect. Let's try again a different way: 2005 is the year, not the number of years. The answer is: In the year 2005, there were 300 police officers.","Incorrect. Let's try again a different way: 300 is the output, not the input. The answer is: In the year 2005, there were 300 police officers.","That's correct! Check yourself: The input into the function, \(f\), is 2005, and the output is 300.","Incorrect. Let's try again a different way: The output is the number of police officers in the year 2005, not the increase in the number of  officers. The answer is: In the year 2005, there were 300 police officers.",C,c6755aec-583e-4611-9132-dbdf8db46728,Alg1_4_2_2_SC
"Self CheckThe price for pizzas, in dollars, is a function of the number of pizzas bought, \(n\).
  Identify the input, output, and meaning of the statement:\(p(11)=55\)",Input: 55Output: 1111 pizzas cost $55,Input: 11Output: 5511 pizzas cost $55,Input: 55Output: 1155 pizzas cost $11,Input: 11Output: 5555 pizzas cost $11,"Incorrect. Let's try again a different way: The meaning is correct, but the input and output are not correct. The input is the number of pizzas. The answer is: Input: 11, Output: 55, 11 pizzas cost $55.",That's correct! Check yourself: The price depends on the number of pizzas bought.,"Incorrect. Let's try again a different way: The input and output are switched, and the meaning statement is also switched. The input is the number of pizzas. The answer is: Input: 11, Output: 55, 11 pizzas cost $55.","Incorrect. Let's try again a different way: The input and output are correct, but the meaning statement is not correct. The answer is: Input: 11, Output: 55, 11 pizzas cost $55.",B,26e50391-f98b-4673-a4e2-cc98decc2ab9,Alg1_4_2_3_SC
"The function \(Q\) gives the number of people, in millions, who owned a smart watch after 2015. What does the equation \(Q(6)=7.25\) mean?","In 2006, 7.25 million people owned smart watches.","In the beginning of 2023, 6 million people owned smart watches.","In 2021, 7.25 million people owned smart watches.","In 2021, 7.25 million more people owned smart watches than in 2015.","Incorrect. Let's try again a different way: The 6 represents the years after 2015, not 2000. The answer is in 2021, 7.25 million people owned smart watches.","Incorrect. Let's try again a different way: 6 is the number of years after 2015. The 7.25 is the millions of people, not the years. The answer is in 2021, 7.25 million people owned smart watches.","That's correct! Check yourself: 2021 is 6 years after 2015 and the function, \(Q\), gives the number in millions, so 7.25 million people owned smart watches in 2021.","Incorrect. Let's try again a different way: The function, \(Q\), gives the number of people who owned the smart watches in the year, not how many more people owned them than in 2015. The answer is in 2021, 7.25 million people owned smart watches.",C,62bd57ba-03b9-48b8-8be0-708ac8040a80,Alg1_4_3_2_SC
"The function \(C\) gives the temperature, in degrees Fahrenheit, of a pot of coffee \(x\) minutes after it is made.What does the statement \(C(10)<C(5)\) mean in the context of the problem?",The coffee pot has less coffee in it after 10 minutes than after 5 minutes.,The temperature of the coffee after 10 minutes was cooler than after 5 minutes.,The temperature of the coffee after 10 minutes was warmer than after 5 minutes.,The temperature of coffee after 10 hours was cooler than after 5 hours.,"Incorrect. Let's try again a different way: The function \(C\) determines the temperature, not the amount of coffee. The answer is the temperature of the coffee after 10 minutes was cooler than after 5 minutes.",That's correct! Check yourself: The function \(C\) stands for coffee temperature at a particular time. The temperature at 10 minutes was less than it was at 5 minutes.,Incorrect. Let's try again a different way: The coffee temperature after 10 minutes is less than after 5 minutes. The correct answer is the temperature of the coffee after 10 minutes was cooler than after 5 minutes.,"Incorrect. Let's try again a different way: The time was measured in minutes, not hours. The answer is the temperature of the coffee after 10 minutes was cooler than after 5 minutes.",B,0f379ed9-dd5b-4f61-aba3-2255c4d7964b,Alg1_4_3_3_SC
Which function has the least value when \(x =0\)?,\(f(x)=2x+1\),\(f(x)=3x\),\(f(x)=2(x-1)\),\(f(x)=-4x +5\),Incorrect. Let's try again a different way: Substitute \(x=0\): \(2(0)+1 =1\). Check all of the functions. One is not the least value. The answer is \(f(x)=2(x-1)\).,Incorrect. Let's try again a different way: Substitute \(x=0\): \(3(0) = 0\). Check all of the functions. Zero is not the least value. The answer is \(f(x)=2(x-1)\).,That's correct! Check yourself: Substitute \(x=0\) and \(2(0-1)=2(-1)=-2\).,"Incorrect. Let's try again a different way: Substitute \(x=0\): \(-4(0)+5 =5\). This is the greatest value, not the least value. The answer is \(f(x)=2(x-1)\).",C,77b74fc5-3699-4eff-a794-71606650360a,Alg1_4_4_2_SC
Which function rule can describe the table below?\(x\)\(y\)1325511,\(f(x)=x+3\),\(f(x)=2x+1\),\(f(x)=2x+2\),\(f(x)=x+2\),"Incorrect. Let's try again a different way: When 1 is substituted for \(x\), \((1)+3=4\), not 3. This function does not work for the values. The answer is \(f(x)=2x+1\).","That's correct! Check yourself: When \(x =1\), \(2(1)+1=3\), when \(x=2\), \(2(2)+1=5\), and when \(x=5\), \(2(5)+1=11\).","Incorrect. Let's try again a different way: When 1 is substituted for \(x\), \(2(1)+2=4\), not 3. This function does not work for all values. The answer is \(f(x)=2x+1\).","Incorrect. Let's try again a different way: While this rule works for the first row of the table, when \(x = 2\), \((2)+2=4\), not 5, so the rule does not work for all values in the table. The answer is \(f(x)=2x+1\).",B,512d6d8d-fdec-4040-b5d5-9512ef8faae0,Alg1_4_4_3_SC
Which of the following graphs is the graph of a function?,,,,,"Incorrect. Let's try again a different way: For a graph to be that of a function, it must pass the vertical line test. For this graph, there are multiple places where an imaginary vertical line would touch more than once. For example, the vertical line \(x = 2\) crosses the graph more than once. The answer is:","Incorrect. Let's try again a different way: For a graph to be that of a function, it must pass the vertical line test. For this graph, there are multiple places where an imaginary vertical line would touch more than once. For example, the vertical line \(x =2\) crosses the graph more than once. The answer is:","That's correct! Check yourself: If an imaginary vertical line was drawn anywhere on the graph, it would only touch once. This graph passes the vertical line test and is the graph of a function.","Incorrect. Let's try again a different way: For a graph to be that of a function, it must pass the vertical line test. For this graph, there are multiple places where an imaginary vertical line would touch more than once. For example, the vertical line \(x = 2\) crosses the graph more than once. The answer is:",C,200646f4-68dd-43b3-abad-626de63b456c,Alg1_4_5_2_SC
"Rental car company A charges $50 a day plus $0.50 a mile, \(m\), and is modeled by function \(A\).
  Rental car company B charges $20 a day plus $1.00 a mile, \(m\), and is modeled by function \(B\).
  Which statement is true for the cost of one day after \(m\) miles?",\(A(100)>B(100)\),\(A(100)=B(100)\),\(A(100),Company A is always more than Company B.,"Incorrect. Let's try again a different way: \(A(m)=50+0.50m\), \(B(m)=20+1m\) are the two equations, so \(A(100)=100\) and \(B(100)=120\). The answer is \(A(100)","Incorrect. Let's try again a different way: \(A(m)=50+0.50m\), \(B(m)=20+1m\) are the two equations, so \(A(100)=100\) and \(B(100)=120\). The answer is \(A(100)","That's correct! Check yourself: \(A(m)=50+0.50m\), \(B(m)=20+1m\) are the two equations, so \(A(100)=100\) and \(B(100)=120\).","Incorrect. Let's try again a different way: \(A(m)=50+0.50m\), \(B(m)=20+1m\) are the two equations, so \(A(100)=100\) and \(B(100)=120\). The answer is \(A(100)",C,1f87e049-44a9-4c51-975f-bbd8f393bf35,Alg1_4_5_3_SC
The function \(D\) is defined by the equation \(D(x)=2.5x +12\).Which describes the window that can be used to find the value of \(x\) when \(D(x)=23.25\) using graphing technology and gives the correct value of \(x\)?,"Graph \(y=2.5x+12\), \(x=23.25\); window: \(x\) from 0 to 30, \(y\) from 0 to 100; \(x=70.125\)","Graph \(y=2.5x+12\), \(y=23.25\); window: \(x\) from 0 to 10, \(y\) from 20 to 25; \(x=4.5\)","Graph \(y=2.5x\), \(y=23.25\); window: \(x\) from 0 to 10, \(y\) from 20 to 25; \(x=9.3\)","Graph \(y=2.5x+12\), \(y=23.25\); window: \(x\) from 20 to 25, \(y\) from 0 to 10; \(x=4.5\)","Incorrect. Let's try again a different way: The value 23.25 is the output value, not the input value. The window must include the value of \(D(x)\) and the estimated value of \(x\). The answer is: Graph \(y=2.5x+12\), \(y=23.25\); window: \(x\) from 0 to 10, \(y\) from 20 to 25; \(x=4.5\).",That's correct! Check yourself: Graph each equation using a window for \(y\)\ close to the given value and a window for \(x\) close to an estimated value. The value of \(x\) where the lines meet is 4.5.,"Incorrect. Let's try again a different way: be sure to graph the full equation for \(D(x)\), using a window for \(y\) close to the given value and a window for \(x\) close to an estimated value. The answer is: Graph \(y=2.5x+12\), \(y=23.25\); window: \(x\) from 0 to 10, \(y\) from 20 to 25; \(x=4.5\).","Incorrect. Let's try again a different way: Make sure to use a window where you can see that given value of \(y\) and the estimated value of \(x\). The answer is: Graph \(y=2.5x+12\), \(y=23.25\); window: \(x\) from 0 to 10, \(y\) from 20 to 25; \(x=4.5\).",B,4e777f0f-624e-4e3b-9a3e-67268e1bce6c,Alg1_4_5_4_SC
"Self CheckThe graph below represents the temperature, \(t(m)\), in degrees Fahrenheit of water used for a cup of hot tea over time in minutes, \(m\). What does \(t(0)\) represent?","\(t(0)=70\); After 70 minutes, the temperature is 0 degrees.","\(t(0)=180\); After 0 minutes, the temperature is 180 degrees.","\(t(0)=70\); After 0 minutes, the temperature is 70 degrees.","\(t(0)= 180\); After 180 minutes, the temperature is 0 degrees.","Incorrect. Let's try again a different way: Remember the value inside the parentheses is the minutes passed, so \(t(0)\) means 0 minutes have passed. The answer is \(t(0)=70\); After 0 minutes, the temperature is 70 degrees.","Incorrect. Let's try again a different way: On the graph provided, the graph intersects the vertical axis at 70, not 180. The answer is \(t(0)=70\); After 0 minutes, the temperature is 70 degrees.","That's correct! Check yourself: \(t(0)= 70\) means that the \(x\) value is 0, or it is the point on the vertical axis. The point where the graph intersects the vertical axis is 70 degrees.","Incorrect. Let's try again a different way: Remember the value inside the parentheses is the minutes passed, so \(t(0)\) means 0 minutes have passed. The answer is \(t(0)=70\); At 0 minutes, the temperature is 70 degrees.",C,b664abec-15fe-4c3f-9227-1912c117b084,Alg1_4_6_2_SC
